,longitude,latitude,full_geoid,geoid
0,-73.968948,40.7787635,360610143001017,36061014300
1,-73.9158992,40.7833187,360810105002000,36081010500
2,-73.9006041,40.6867634,360470407001000,36047040700
3,-74.0108786,40.7330522,360610075001003,36061007500
4,-73.9289063,40.8663673,360610287001006,36061028700
5,-73.9222037,40.8035088,360050019032012,36005001903
6,-73.9101461,40.8353912,360050177023000,36005017702
7,-74.013613,40.7115353,360610013005000,36061001300
8,-73.914031,40.818956,360050071002004,36005007100
9,-73.9513774,40.7605289,360610238032000,36061023803
10,-73.9058827,40.8888604,360050335002012,36005033500
11,-73.9169506,40.7695342,360810065012001,36081006501
12,-73.951288,40.7942383,360610143001001,36061014300
13,-73.943813,40.825332,360610231004000,36061023100
14,-73.9740548,40.6573895,360470177001008,36047017700
15,-73.9513537,40.8310017,360610237003003,36061023700
16,-73.9453281,40.7960925,360610172001001,36061017200
17,-73.9393628,40.7932827,360610180001001,36061018000
18,-73.958204,40.803894,360610201023001,36061020102
19,-73.9314832,40.8078687,360050019011014,36005001901
20,-73.9089876,40.8891767,360050297001002,36005029700
21,-74.0179705,40.6515473,360470018031000,36047001803
22,-73.9777379,40.7871987,360610171003001,36061017100
23,-73.9170424,40.7613982,360810155002000,36081015500
24,-73.942229,40.8483251,360610265002007,36061026500
25,-73.9591876,40.7348512,360470563022002,36047056302
26,-73.9636896,40.7768875,360610142004001,36061014200
27,-73.9676166,40.7927783,360610181001000,36061018100
28,-73.9898097,40.7150161,360610014011000,36061001401
29,-73.9946243,40.7213366,360610043002000,36061004300
30,-73.92964,40.8094245,360050051001011,36005005100
31,-74.0140447,40.7111288,360610013005000,36061001300
32,-73.9180207,40.7525192,360810171021001,36081017102
33,-73.9431661,40.7755705,360610144027002,36061014402
34,-74.0102933,40.7207987,360610039002004,36061003900
35,-73.9851601,40.7190607,360610014021000,36061001402
36,-73.9149978,40.6990892,360470433002002,36047043300
37,-73.9858701,40.6967977,360470013001008,36047001300
38,-73.9432344,40.694559,360470283002001,36047028300
39,-73.973727,40.6978723,360470211002003,36047021100
40,-73.986157,40.7207483,360610030013002,36061003001
41,-73.9597537,40.7981441,360610143001003,36061014300
42,-74.0145414,40.7041525,360610319001000,36061031900
43,-73.992948,40.7201804,360610018005001,36061001800
44,-73.9006602,40.8235466,360050129012000,36005012901
45,-73.9276554,40.8523944,360610267001000,36061026700
46,-73.9515238,40.7517153,360810001031000,36081000103
47,-73.9622677,40.7943238,360610143001003,36061014300
48,-74.0144636,40.7082175,360610013001002,36061001300
49,-73.933836,40.8443191,360610261006000,36061026100
50,-73.9900012,40.7722409,360610151023000,36061015102
51,-73.9018681,40.6818375,360470407001000,36047040700
52,-73.9823461,40.7647921,360610137006001,36061013700
53,-73.986568,40.688408,360470041001003,36047004100
54,-73.9309777,40.763865,360810045001010,36081004500
55,-73.9714738,40.6510901,360470177001013,36047017700
56,-73.9811983,40.7817407,360610163004000,36061016300
57,-73.994251,40.652395,360470175001000,36047017500
58,-73.9245348,40.737697,360810187002001,36081018700
59,-73.92503,40.739955,360810185021000,36081018502
60,-73.926191,40.838512,360050199004000,36005019900
61,-73.9867259,40.6693784,360470137003001,36047013700
62,-73.9150474,40.7854054,360810105001000,36081010500
63,-73.983689,40.7300062,360610040013000,36061004001
64,-74.0142049,40.7062532,360610013003004,36061001300
65,-73.9283168,40.8544199,360610277003001,36061027700
66,-73.9950019,40.6889128,360470045002000,36047004500
67,-73.9855592,40.7260755,360610032003000,36061003200
68,-73.9670578,40.7945895,360610185002000,36061018500
69,-73.9457868,40.6965651,360470259021000,36047025902
70,-73.9385784,40.8429203,360610253004002,36061025300
71,-73.9352269,40.847071,360610261002000,36061026100
72,-73.9574368,40.7872721,360610143001007,36061014300
73,-73.9360904,40.6881906,360470277001000,36047027700
74,-73.9851381,40.7751379,360610155011000,36061015501
75,-73.9718224,40.7630273,360610112021000,36061011202
76,-73.9605614,40.7127138,360470551002001,36047055100
77,-73.9821707,40.7321623,360610048005001,36061004800
78,-74.0019087,40.7364717,360610077005002,36061007700
79,-73.9834679,40.7259477,360610032007002,36061003200
80,-74.0109687,40.6721223,360470053022008,36047005302
81,-73.9133759,40.7630497,360810149001000,36081014900
82,-73.9169826,40.7697427,360810065012002,36081006501
